-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  50.1101   Longitude 8.5761 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 171.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
TS                    MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WS50M,TS
2021,2,22,2.48,2.91,1.78,3.84,4.94,94.75,0.05,2.87,4.32,2.95
2021,2,23,2.62,2.61,1.91,7.75,6.23,91.44,0.01,3.42,5.31,6.27
2021,2,24,2.81,2.78,1.83,8.75,6.47,91.25,0.0,3.38,5.48,7.73
2021,2,25,3.16,3.11,1.78,8.55,6.04,85.75,0.0,3.2,4.96,7.21
2021,2,26,0.92,2.96,1.95,4.88,5.31,95.62,1.61,3.39,5.52,3.91
2021,2,27,2.52,3.5,2.29,2.68,4.15,90.5,0.04,3.55,5.61,2.76
2021,2,28,3.38,3.47,2.38,3.17,4.03,86.62,0.01,3.73,5.54,3.08
2021,3,1,3.14,3.49,2.27,4.0,4.46,87.69,0.02,3.66,5.96,3.79
2021,3,2,3.48,3.54,1.77,5.74,4.7,81.75,0.0,2.69,4.16,4.48
2021,3,3,2.77,3.08,1.48,5.51,4.88,86.81,0.0,2.5,3.67,3.95
2021,3,4,1.58,3.02,2.33,6.65,5.62,91.19,1.87,3.6,5.37,6.05
2021,3,5,2.32,3.68,2.69,1.87,3.54,83.0,1.57,4.17,6.63,1.68
2021,3,6,3.93,3.92,1.79,0.17,2.69,72.69,0.0,3.02,4.62,-0.24
2021,3,7,4.06,4.0,1.27,0.69,2.81,74.06,0.0,2.27,3.84,0.65
2021,3,8,1.83,3.79,1.16,1.03,3.48,86.38,0.15,2.03,3.12,0.79
2021,3,9,1.64,3.53,1.29,1.97,3.85,88.06,0.63,2.24,3.55,1.87
2021,3,10,2.05,3.87,1.84,4.32,4.58,87.06,0.7,2.99,4.91,4.13
2021,3,11,1.78,3.98,5.9,7.67,5.74,86.19,4.05,8.59,12.06,7.07
2021,3,12,2.52,4.24,5.86,6.25,4.88,81.81,3.64,8.44,11.4,6.13
2021,3,13,1.48,4.15,6.59,6.16,5.31,87.94,6.22,9.51,12.8,5.79
2021,3,14,2.08,4.26,3.52,3.74,4.46,89.5,1.35,5.2,7.63,3.65
2021,3,15,2.5,4.26,4.22,4.57,4.58,87.06,3.3,6.09,8.45,4.54
2021,3,16,2.46,4.44,3.2,4.26,4.33,84.88,0.55,4.77,7.29,4.2
2021,3,17,2.01,4.27,1.88,2.56,3.85,85.12,1.55,3.07,4.9,2.52
2021,3,18,2.75,4.21,1.23,2.09,3.66,84.38,1.26,2.09,3.09,2.18
2021,3,19,2.88,4.35,3.05,1.57,3.48,83.31,0.88,4.63,7.05,1.54
2021,3,20,4.06,4.61,1.58,0.91,2.62,68.06,0.0,2.4,3.59,0.82
2021,3,21,2.29,4.87,3.27,3.57,4.03,81.69,0.46,4.99,7.54,3.34
2021,3,22,1.93,4.83,2.44,3.74,4.21,85.62,0.18,3.77,6.17,3.76
2021,3,23,1.9,4.66,1.25,4.51,4.39,83.88,0.03,2.05,2.9,3.84
2021,3,24,4.9,4.84,1.56,5.74,4.58,80.38,0.0,2.65,3.77,5.23
2021,3,25,3.61,4.49,1.73,7.67,5.37,81.19,0.02,2.9,4.41,7.08
2021,3,26,3.81,4.81,1.95,8.61,5.92,84.75,0.04,3.15,4.71,8.11
2021,3,27,2.76,5.18,4.38,6.07,4.82,82.75,2.01,6.62,9.62,5.8
2021,3,28,3.53,4.89,2.41,6.94,4.94,81.44,0.01,3.99,6.41,6.68
2021,3,29,5.13,5.24,1.98,10.42,5.68,74.5,0.0,3.31,5.07,9.26
2021,3,30,5.54,5.54,1.04,13.71,5.92,62.19,0.0,1.7,2.45,11.24
2021,3,31,5.34,5.36,1.55,14.08,6.59,67.19,0.0,2.57,3.81,12.62
